Year,State,Administrative District, Households , Living Quarters 
2010,Pahang,Raub,"19,816","21,533"
2010,Pahang,Temerloh,"38,350","43,017"
2010,Pahang,Rompin,"23,021","26,262"
2010,Pahang,Maran,"22,891","24,823"
2010,Pahang,Bera,"18,506","21,131"
2010,Perak,Batang Padang,"43,347","51,345"
2010,Perak,Manjung,"57,136","66,260"
2010,Perak,Kinta ,"197,576","234,612"
2010,Perak,Kerian,"38,149","42,950"
2010,Perak,Kuala Kangsar,"39,713","46,217"
2010,Perak,Larut dan Matang ,"75,339","83,493"
2010,Perak,Hilir Perak,"48,350","56,456"
2010,Perak,Ulu Perak,"21,752","24,746"
2010,Perak,Perak Tengah,"22,654","27,592"
2010,Perak,Kampar,"25,755","30,551"
2010,Perlis,Perlis,"53,009","60,820"
2010,Pulau Pinang,Seberang Perai Tengah ,"89,336","106,643"
2010,Pulau Pinang,Seberang Perai Utara ,"68,415","83,151"
2010,Pulau Pinang,Seberang Perai Selatan ,"39,070","49,940"
2010,Pulau Pinang,Timur Laut ,"139,795","168,498"
2010,Pulau Pinang,Barat Daya,"50,564","58,344"
2010,Sabah,Beaufort,"11,727","13,409"
2010,Sabah,Beluran,"18,269","20,086"
2010,Sabah,Keningau,"29,502","30,343"
2010,Sabah,Kinabatangan,"22,332","23,435"
2010,Sabah,Kota Belud,"14,924","16,539"
2010,Sabah,Kota Kinabalu,"76,088","81,747"
2010,Sabah,Kota Marudu,"12,612","14,320"
2010,Sabah,Kuala Penyu,"3,915","4,724"
2010,Sabah,Kudat,"14,759","16,745"
2010,Sabah,Kunak,"8,859","9,731"
2010,Sabah,Lahad Datu,"36,328","34,179"
2010,Sabah,Nabawan,"4,937","4,732"
2010,Sabah,Papar                 ,"20,883","24,565"
2010,Sabah,Penampang,"28,074","33,659"
2010,Sabah,Pitas,"7,075","8,071"
2010,Sabah,Putatan,"11,269","12,969"
2010,Sabah,Ranau,"14,207","15,514"
2010,Sabah,Sandakan,"60,534","64,194"
2010,Sabah,Semporna,"19,860","21,427"
2010,Sabah,Sipitang,"6,770","7,599"
2010,Sabah,Tambunan,"5,860","5,871"
2010,Sabah,Tawau,"67,654","69,656"
2010,Sabah,Tenom,"9,907","10,915"
2010,Sabah,Tongod,"6,017","6,548"
2010,Sabah,Tuaran,"21,012","25,830"
2010,Sarawak,Kuching ,"133,496","146,129"
2010,Sarawak,Bau,"10,947","11,688"
2010,Sarawak,Lundu,"7,212","7,980"
2010,Sarawak,Samarahan,"16,635","23,847"
2010,Sarawak,Serian,"19,286","20,493"
2010,Sarawak,Simunjan ,"8,576","9,246"
2010,Sarawak,Sri Aman,"15,630","16,513"
2010,Sarawak,Lubok Antu ,"6,769","7,084"
2010,Sarawak,Betong ,"13,111","14,472"
2010,Sarawak,Saratok ,"10,080","11,287"
2010,Sarawak,Sarikei ,"13,097","14,716"
2010,Sarawak,Maradong,"6,544","6,787"
2010,Sarawak,Daro,"6,902","7,094"
2010,Sarawak,Julau,"3,799","4,506"
2010,Sarawak,Sibu,"54,235","60,682"
2010,Sarawak,Dalat,"4,257","4,413"
2010,Sarawak,Mukah,"9,032","10,474"
2010,Sarawak,Kanowit,"7,020","8,270"
2010,Sarawak,Bintulu,"40,222","42,666"
2010,Sarawak,Tatau,"7,064","7,279"
2010,Sarawak,Kapit,"12,612","13,563"
2010,Sarawak,Song,"4,667","4,920"
2010,Sarawak,Belaga,"7,461","8,019"
2010,Sarawak,Miri,"67,621","74,163"
2010,Sarawak,Marudi,"15,024","17,173"
2010,Sarawak,Limbang,"10,475","11,622"
2010,Sarawak,Lawas,"8,137","8,198"
2010,Sarawak,Matu,"3,803","3,956"
2010,Sarawak,Asajaya,"6,370","6,636"
2010,Sarawak,Pakan,"3,836","3,956"
2010,Sarawak,Selangau ,"5,553","6,640"
2010,Selangor,Gombak,"167,530","198,370"
2010,Selangor,Klang,"201,994","234,039"
2010,Selangor,Kuala Langat,"49,798","58,812"
2010,Selangor,Kuala Selangor,"46,453","57,614"
2010,Selangor,Petaling,"466,862","518,464"
2010,Selangor,Sabak Bernam,"24,800","29,062"
2010,Selangor,Sepang,"49,005","57,925"
2010,Selangor,Ulu Langat,"288,508","325,743"
2010,Selangor,Ulu Selangor,"45,868","82,331"
2010,Terengganu,Besut,"27,212","30,528"
2010,Terengganu,Dungun,"30,244","33,410"
2010,Terengganu,Kemaman,"37,439","41,545"
2010,Terengganu,Kuala Terengganu,"70,371","80,287"
2010,Terengganu,Marang,"20,962","23,790"
2010,Terengganu,Hulu Terengganu ,"14,709","17,015"
2010,Terengganu,Setiu ,"11,345","12,823"
2010,W.P. Kuala Lumpur ,W.P. Kuala Lumpur ,"419,187","468,325"
2010,W.P. Labuan ,W.P. Labuan ,"18,162","19,719"
2010,W.P. Putrajaya ,W.P. Putrajaya ,"19,511","24,590"
 
