State/Country,Year,Category of occupation,Code Version, Employed Person ('000) 
Pahang,2016,Craft and related trades workers ,MASCO 2013,75.6
Pulau Pinang,2016,Craft and related trades workers ,MASCO 2013,83.7
Perak,2016,Craft and related trades workers ,MASCO 2013,124.5
Perlis,2016,Craft and related trades workers ,MASCO 2013,13.6
Selangor,2016,Craft and related trades workers ,MASCO 2013,287.8
Terengganu,2016,Craft and related trades workers ,MASCO 2013,80.7
Sabah,2016,Craft and related trades workers ,MASCO 2013,197.0
Sarawak,2016,Craft and related trades workers ,MASCO 2013,149.4
W.P. Kuala Lumpur,2016,Craft and related trades workers ,MASCO 2013,57.4
W.P Labuan,2016,Craft and related trades workers ,MASCO 2013,4.5
W.P.Putrajaya,2016,Craft and related trades workers ,MASCO 2013,0.3
Malaysia,2016,Plant and machine-operators and assemblers,MASCO 2013,"1,669.8"
Johor,2016,Plant and machine-operators and assemblers,MASCO 2013,273.5
Kedah,2016,Plant and machine-operators and assemblers,MASCO 2013,126.5
Kelantan,2016,Plant and machine-operators and assemblers,MASCO 2013,39.6
Melaka,2016,Plant and machine-operators and assemblers,MASCO 2013,59.0
Negeri Sembilan,2016,Plant and machine-operators and assemblers,MASCO 2013,54.8
Pahang,2016,Plant and machine-operators and assemblers,MASCO 2013,63.1
Pulau Pinang,2016,Plant and machine-operators and assemblers,MASCO 2013,154.2
Perak,2016,Plant and machine-operators and assemblers,MASCO 2013,118.8
Perlis,2016,Plant and machine-operators and assemblers,MASCO 2013,8.4
Selangor,2016,Plant and machine-operators and assemblers,MASCO 2013,421.0
Terengganu,2016,Plant and machine-operators and assemblers,MASCO 2013,26.1
Sabah,2016,Plant and machine-operators and assemblers,MASCO 2013,153.9
Sarawak,2016,Plant and machine-operators and assemblers,MASCO 2013,107.2
W.P. Kuala Lumpur,2016,Plant and machine-operators and assemblers,MASCO 2013,59.5
W.P Labuan,2016,Plant and machine-operators and assemblers,MASCO 2013,3.1
W.P.Putrajaya,2016,Plant and machine-operators and assemblers,MASCO 2013,1.0
Malaysia,2016,Elementary occupations  ,MASCO 2013,"1,844.2"
Johor,2016,Elementary occupations  ,MASCO 2013,178.1
Kedah,2016,Elementary occupations  ,MASCO 2013,92.4
Kelantan,2016,Elementary occupations  ,MASCO 2013,73.5
Melaka,2016,Elementary occupations  ,MASCO 2013,37.4
Negeri Sembilan,2016,Elementary occupations  ,MASCO 2013,60.2
Pahang,2016,Elementary occupations  ,MASCO 2013,124.4
Pulau Pinang,2016,Elementary occupations  ,MASCO 2013,66.5
Perak,2016,Elementary occupations  ,MASCO 2013,114.8
Perlis,2016,Elementary occupations  ,MASCO 2013,11.0
Selangor,2016,Elementary occupations  ,MASCO 2013,270.3
Terengganu,2016,Elementary occupations  ,MASCO 2013,47.3
Sabah,2016,Elementary occupations  ,MASCO 2013,485.1
Sarawak,2016,Elementary occupations  ,MASCO 2013,220.0
W.P. Kuala Lumpur,2016,Elementary occupations  ,MASCO 2013,56.4
W.P Labuan,2016,Elementary occupations  ,MASCO 2013,4.1
W.P.Putrajaya,2016,Elementary occupations  ,MASCO 2013,2.9
Malaysia,2015,Total,MASCO 2008,"14,067.7"
Johor,2015,Total,MASCO 2008,"1,582.6"
Kedah,2015,Total,MASCO 2008,881.6
Kelantan,2015,Total,MASCO 2008,652.1
Melaka,2015,Total,MASCO 2008,398.3
Negeri Sembilan,2015,Total,MASCO 2008,468.7
Pahang,2015,Total,MASCO 2008,697.5
Pulau Pinang,2015,Total,MASCO 2008,834.2
Perak,2015,Total,MASCO 2008,981.8
Perlis,2015,Total,MASCO 2008,98.2
Selangor,2015,Total,MASCO 2008,"3,135.0"
Terengganu,2015,Total,MASCO 2008,420.5
Sabah,2015,Total,MASCO 2008,"1,771.1"
Sarawak,2015,Total,MASCO 2008,"1,214.8"
W.P. Kuala Lumpur,2015,Total,MASCO 2008,853.4
W.P Labuan,2015,Total,MASCO 2008,39.5
W.P.Putrajaya,2015,Total,MASCO 2008,38.5
Malaysia,2015,Managers             ,MASCO 2008,718.6
Johor,2015,Managers             ,MASCO 2008,58.6
Kedah,2015,Managers             ,MASCO 2008,23.4
Kelantan,2015,Managers             ,MASCO 2008,12.1
Melaka,2015,Managers             ,MASCO 2008,15.4
Negeri Sembilan,2015,Managers             ,MASCO 2008,20.7
Pahang,2015,Managers             ,MASCO 2008,17.9
Pulau Pinang,2015,Managers             ,MASCO 2008,41.0
Perak,2015,Managers             ,MASCO 2008,37.3
Perlis,2015,Managers             ,MASCO 2008,2.6
Selangor,2015,Managers             ,MASCO 2008,300.0
Terengganu,2015,Managers             ,MASCO 2008,11.6
Sabah,2015,Managers             ,MASCO 2008,53.1
Sarawak,2015,Managers             ,MASCO 2008,39.6
W.P. Kuala Lumpur,2015,Managers             ,MASCO 2008,80.6
W.P Labuan,2015,Managers             ,MASCO 2008,1.4
W.P.Putrajaya,2015,Managers             ,MASCO 2008,3.2
Malaysia,2015,Professionals,MASCO 2008,"1,462.0"
Johor,2015,Professionals,MASCO 2008,122.8
Kedah,2015,Professionals,MASCO 2008,70.9
Kelantan,2015,Professionals,MASCO 2008,60.1
Melaka,2015,Professionals,MASCO 2008,42.8
Negeri Sembilan,2015,Professionals,MASCO 2008,41.2
Pahang,2015,Professionals,MASCO 2008,50.5
Pulau Pinang,2015,Professionals,MASCO 2008,91.8
Perak,2015,Professionals,MASCO 2008,84.6
Perlis,2015,Professionals,MASCO 2008,9.4
Selangor,2015,Professionals,MASCO 2008,488.4
Terengganu,2015,Professionals,MASCO 2008,41.4
Sabah,2015,Professionals,MASCO 2008,111.0
Sarawak,2015,Professionals,MASCO 2008,91.5
W.P. Kuala Lumpur,2015,Professionals,MASCO 2008,144.2
W.P Labuan,2015,Professionals,MASCO 2008,3.2
W.P.Putrajaya,2015,Professionals,MASCO 2008,8.2
Malaysia,2015,Technicians and associate professionals   ,MASCO 2008,"1,406.9"
Johor,2015,Technicians and associate professionals   ,MASCO 2008,163.8
Kedah,2015,Technicians and associate professionals   ,MASCO 2008,66.5
Kelantan,2015,Technicians and associate professionals   ,MASCO 2008,37.2
Melaka,2015,Technicians and associate professionals   ,MASCO 2008,51.2
Negeri Sembilan,2015,Technicians and associate professionals   ,MASCO 2008,52.0
Pahang,2015,Technicians and associate professionals   ,MASCO 2008,52.9
Pulau Pinang,2015,Technicians and associate professionals   ,MASCO 2008,110.4
Perak,2015,Technicians and associate professionals   ,MASCO 2008,86.9
Perlis,2015,Technicians and associate professionals   ,MASCO 2008,6.9
Selangor,2015,Technicians and associate professionals   ,MASCO 2008,443.6
Terengganu,2015,Technicians and associate professionals   ,MASCO 2008,34.6
Sabah,2015,Technicians and associate professionals   ,MASCO 2008,79.5
Sarawak,2015,Technicians and associate professionals   ,MASCO 2008,92.7
W.P. Kuala Lumpur,2015,Technicians and associate professionals   ,MASCO 2008,115.4
W.P Labuan,2015,Technicians and associate professionals   ,MASCO 2008,5.7
W.P.Putrajaya,2015,Technicians and associate professionals   ,MASCO 2008,7.6
Malaysia,2015,Clerical support workers,MASCO 2008,"1,241.1"
Johor,2015,Clerical support workers,MASCO 2008,136.8
Kedah,2015,Clerical support workers,MASCO 2008,60.4
Kelantan,2015,Clerical support workers,MASCO 2008,36.0
Melaka,2015,Clerical support workers,MASCO 2008,37.4
Negeri Sembilan,2015,Clerical support workers,MASCO 2008,41.1
Pahang,2015,Clerical support workers,MASCO 2008,52.9
Pulau Pinang,2015,Clerical support workers,MASCO 2008,88.7
Perak,2015,Clerical support workers,MASCO 2008,79.3
Perlis,2015,Clerical support workers,MASCO 2008,6.5
Selangor,2015,Clerical support workers,MASCO 2008,341.1
Terengganu,2015,Clerical support workers,MASCO 2008,29.5
Sabah,2015,Clerical support workers,MASCO 2008,111.1
Sarawak,2015,Clerical support workers,MASCO 2008,93.9
W.P. Kuala Lumpur,2015,Clerical support workers,MASCO 2008,109.5
W.P Labuan,2015,Clerical support workers,MASCO 2008,6.2
W.P.Putrajaya,2015,Clerical support workers,MASCO 2008,10.6
Malaysia,2015,Service and sales workers,MASCO 2008,"3,188.9"
Johor,2015,Service and sales workers,MASCO 2008,367.9
Kedah,2015,Service and sales workers,MASCO 2008,228.0
Kelantan,2015,Service and sales workers,MASCO 2008,203.4
Melaka,2015,Service and sales workers,MASCO 2008,110.0
Negeri Sembilan,2015,Service and sales workers,MASCO 2008,120.7
Pahang,2015,Service and sales workers,MASCO 2008,169.6
Pulau Pinang,2015,Service and sales workers,MASCO 2008,175.5
Perak,2015,Service and sales workers,MASCO 2008,251.0
Perlis,2015,Service and sales workers,MASCO 2008,29.8
Selangor,2015,Service and sales workers,MASCO 2008,607.9
Terengganu,2015,Service and sales workers,MASCO 2008,105.2
Sabah,2015,Service and sales workers,MASCO 2008,358.6
Sarawak,2015,Service and sales workers,MASCO 2008,239.5
W.P. Kuala Lumpur,2015,Service and sales workers,MASCO 2008,209.7
W.P Labuan,2015,Service and sales workers,MASCO 2008,7.4
W.P.Putrajaya,2015,Service and sales workers,MASCO 2008,4.7
Malaysia,2015,"Skilled agricultural, forestry and fishery workers       ",MASCO 2008,940.3
Johor,2015,"Skilled agricultural, forestry and fishery workers       ",MASCO 2008,64.9
Kedah,2015,"Skilled agricultural, forestry and fishery workers       ",MASCO 2008,80.8
Kelantan,2015,"Skilled agricultural, forestry and fishery workers       ",MASCO 2008,77.5
Melaka,2015,"Skilled agricultural, forestry and fishery workers       ",MASCO 2008,9.9
Negeri Sembilan,2015,"Skilled agricultural, forestry and fishery workers       ",MASCO 2008,30.9
Pahang,2015,"Skilled agricultural, forestry and fishery workers       ",MASCO 2008,81.9
Pulau Pinang,2015,"Skilled agricultural, forestry and fishery workers       ",MASCO 2008,9.7
Perak,2015,"Skilled agricultural, forestry and fishery workers       ",MASCO 2008,72.6
Perlis,2015,"Skilled agricultural, forestry and fishery workers       ",MASCO 2008,11.2
Selangor,2015,"Skilled agricultural, forestry and fishery workers       ",MASCO 2008,28.2
Terengganu,2015,"Skilled agricultural, forestry and fishery workers       ",MASCO 2008,30.7
Sabah,2015,"Skilled agricultural, forestry and fishery workers       ",MASCO 2008,250.2
Sarawak,2015,"Skilled agricultural, forestry and fishery workers       ",MASCO 2008,190.2
W.P. Kuala Lumpur,2015,"Skilled agricultural, forestry and fishery workers       ",MASCO 2008,0.4
W.P Labuan,2015,"Skilled agricultural, forestry and fishery workers       ",MASCO 2008,1.2
W.P.Putrajaya,2015,"Skilled agricultural, forestry and fishery workers       ",MASCO 2008,0.1
Malaysia,2015,Craft and related trades workers ,MASCO 2008,"1,578.8"
Johor,2015,Craft and related trades workers ,MASCO 2008,225.7
Kedah,2015,Craft and related trades workers ,MASCO 2008,109.6
Kelantan,2015,Craft and related trades workers ,MASCO 2008,98.4
Melaka,2015,Craft and related trades workers ,MASCO 2008,41.4
Negeri Sembilan,2015,Craft and related trades workers ,MASCO 2008,40.4
Pahang,2015,Craft and related trades workers ,MASCO 2008,75.5
Pulau Pinang,2015,Craft and related trades workers ,MASCO 2008,73.8
Perak,2015,Craft and related trades workers ,MASCO 2008,137.9
Perlis,2015,Craft and related trades workers ,MASCO 2008,13.0
Selangor,2015,Craft and related trades workers ,MASCO 2008,285.1
Terengganu,2015,Craft and related trades workers ,MASCO 2008,89.1
Sabah,2015,Craft and related trades workers ,MASCO 2008,169.9
Sarawak,2015,Craft and related trades workers ,MASCO 2008,154.1
W.P. Kuala Lumpur,2015,Craft and related trades workers ,MASCO 2008,57.7
W.P Labuan,2015,Craft and related trades workers ,MASCO 2008,6.7
W.P.Putrajaya,2015,Craft and related trades workers ,MASCO 2008,0.5
Malaysia,2015,Plant and machine-operators and assemblers,MASCO 2008,"1,585.2"
Johor,2015,Plant and machine-operators and assemblers,MASCO 2008,248.5
Kedah,2015,Plant and machine-operators and assemblers,MASCO 2008,137.2
Kelantan,2015,Plant and machine-operators and assemblers,MASCO 2008,38.6
Melaka,2015,Plant and machine-operators and assemblers,MASCO 2008,57.4
Negeri Sembilan,2015,Plant and machine-operators and assemblers,MASCO 2008,57.0
Pahang,2015,Plant and machine-operators and assemblers,MASCO 2008,66.4
Pulau Pinang,2015,Plant and machine-operators and assemblers,MASCO 2008,165.9
Perak,2015,Plant and machine-operators and assemblers,MASCO 2008,124.1
Perlis,2015,Plant and machine-operators and assemblers,MASCO 2008,9.5
Selangor,2015,Plant and machine-operators and assemblers,MASCO 2008,336.0
Terengganu,2015,Plant and machine-operators and assemblers,MASCO 2008,30.7
Sabah,2015,Plant and machine-operators and assemblers,MASCO 2008,145.0
Sarawak,2015,Plant and machine-operators and assemblers,MASCO 2008,115.7
W.P. Kuala Lumpur,2015,Plant and machine-operators and assemblers,MASCO 2008,49.4
W.P Labuan,2015,Plant and machine-operators and assemblers,MASCO 2008,3.2
W.P.Putrajaya,2015,Plant and machine-operators and assemblers,MASCO 2008,0.8
Malaysia,2015,Elementary occupations  ,MASCO 2008,"1,945.9"
Johor,2015,Elementary occupations  ,MASCO 2008,193.6
Kedah,2015,Elementary occupations  ,MASCO 2008,104.8
Kelantan,2015,Elementary occupations  ,MASCO 2008,88.7
Melaka,2015,Elementary occupations  ,MASCO 2008,32.9
Negeri Sembilan,2015,Elementary occupations  ,MASCO 2008,64.8
Pahang,2015,Elementary occupations  ,MASCO 2008,129.9
Pulau Pinang,2015,Elementary occupations  ,MASCO 2008,77.3
Perak,2015,Elementary occupations  ,MASCO 2008,108.2
Perlis,2015,Elementary occupations  ,MASCO 2008,9.2
Selangor,2015,Elementary occupations  ,MASCO 2008,304.6
Terengganu,2015,Elementary occupations  ,MASCO 2008,47.5
Sabah,2015,Elementary occupations  ,MASCO 2008,492.9
Sarawak,2015,Elementary occupations  ,MASCO 2008,197.6
W.P. Kuala Lumpur,2015,Elementary occupations  ,MASCO 2008,86.5
W.P Labuan,2015,Elementary occupations  ,MASCO 2008,4.5
W.P.Putrajaya,2015,Elementary occupations  ,MASCO 2008,2.8
Malaysia,2014,Total,MASCO 2008,"13,852.6"
Johor,2014,Total,MASCO 2008,"1,579.7"
Kedah,2014,Total,MASCO 2008,859.8
Kelantan,2014,Total,MASCO 2008,625.2
Melaka,2014,Total,MASCO 2008,394.9
Negeri Sembilan,2014,Total,MASCO 2008,466.5
Pahang,2014,Total,MASCO 2008,683.2
Pulau Pinang,2014,Total,MASCO 2008,839.2
Perak,2014,Total,MASCO 2008,954.1
Perlis,2014,Total,MASCO 2008,95.2
Selangor,2014,Total,MASCO 2008,"3,033.6"
Terengganu,2014,Total,MASCO 2008,414.9
Sabah,2014,Total,MASCO 2008,"1,740.9"
Sarawak,2014,Total,MASCO 2008,"1,232.2"
W.P. Kuala Lumpur,2014,Total,MASCO 2008,852.0
W.P Labuan,2014,Total,MASCO 2008,40.8
W.P.Putrajaya,2014,Total,MASCO 2008,40.3
Malaysia,2014,Managers             ,MASCO 2008,664.4
Johor,2014,Managers             ,MASCO 2008,55.8
Kedah,2014,Managers             ,MASCO 2008,30.7
Kelantan,2014,Managers             ,MASCO 2008,9.6
Melaka,2014,Managers             ,MASCO 2008,16.9
Negeri Sembilan,2014,Managers             ,MASCO 2008,22.1
Pahang,2014,Managers             ,MASCO 2008,13.9
Pulau Pinang,2014,Managers             ,MASCO 2008,51.3
Perak,2014,Managers             ,MASCO 2008,35.7
Perlis,2014,Managers             ,MASCO 2008,3.5
Selangor,2014,Managers             ,MASCO 2008,238.5
Terengganu,2014,Managers             ,MASCO 2008,11.8
Sabah,2014,Managers             ,MASCO 2008,55.8
Sarawak,2014,Managers             ,MASCO 2008,42.4
W.P. Kuala Lumpur,2014,Managers             ,MASCO 2008,72.1
W.P Labuan,2014,Managers             ,MASCO 2008,1.5
W.P.Putrajaya,2014,Managers             ,MASCO 2008,2.8
Malaysia,2014,Professionals,MASCO 2008,"1,376.5"
Johor,2014,Professionals,MASCO 2008,129.1
Kedah,2014,Professionals,MASCO 2008,67.1
Kelantan,2014,Professionals,MASCO 2008,55.8
Melaka,2014,Professionals,MASCO 2008,36.5
Negeri Sembilan,2014,Professionals,MASCO 2008,45.1
Pahang,2014,Professionals,MASCO 2008,50.1
Pulau Pinang,2014,Professionals,MASCO 2008,81.6
Perak,2014,Professionals,MASCO 2008,75.0
Perlis,2014,Professionals,MASCO 2008,8.8
Selangor,2014,Professionals,MASCO 2008,452.4
Terengganu,2014,Professionals,MASCO 2008,37.7
Sabah,2014,Professionals,MASCO 2008,92.5
Sarawak,2014,Professionals,MASCO 2008,83.0
W.P. Kuala Lumpur,2014,Professionals,MASCO 2008,151.1
W.P Labuan,2014,Professionals,MASCO 2008,3.6
W.P.Putrajaya,2014,Professionals,MASCO 2008,7.3
Malaysia,2014,Technicians and associate professionals   ,MASCO 2008,"1,367.2"
Johor,2014,Technicians and associate professionals   ,MASCO 2008,180.4
Kedah,2014,Technicians and associate professionals   ,MASCO 2008,66.9
Kelantan,2014,Technicians and associate professionals   ,MASCO 2008,34.2
Melaka,2014,Technicians and associate professionals   ,MASCO 2008,44.4
Negeri Sembilan,2014,Technicians and associate professionals   ,MASCO 2008,47.2
Pahang,2014,Technicians and associate professionals   ,MASCO 2008,48.7
Pulau Pinang,2014,Technicians and associate professionals   ,MASCO 2008,103.7
Perak,2014,Technicians and associate professionals   ,MASCO 2008,79.5
Perlis,2014,Technicians and associate professionals   ,MASCO 2008,5.9
Selangor,2014,Technicians and associate professionals   ,MASCO 2008,426.2
Terengganu,2014,Technicians and associate professionals   ,MASCO 2008,36.3
Sabah,2014,Technicians and associate professionals   ,MASCO 2008,82.3
Sarawak,2014,Technicians and associate professionals   ,MASCO 2008,85.7
W.P. Kuala Lumpur,2014,Technicians and associate professionals   ,MASCO 2008,113.5
W.P Labuan,2014,Technicians and associate professionals   ,MASCO 2008,4.2
W.P.Putrajaya,2014,Technicians and associate professionals   ,MASCO 2008,8.0
Malaysia,2014,Clerical support workers,MASCO 2008,"1,237.8"
Johor,2014,Clerical support workers,MASCO 2008,142.1
Kedah,2014,Clerical support workers,MASCO 2008,55.0
Kelantan,2014,Clerical support workers,MASCO 2008,31.9
Melaka,2014,Clerical support workers,MASCO 2008,34.6
Negeri Sembilan,2014,Clerical support workers,MASCO 2008,41.2
Pahang,2014,Clerical support workers,MASCO 2008,53.8
Pulau Pinang,2014,Clerical support workers,MASCO 2008,86.3
Perak,2014,Clerical support workers,MASCO 2008,79.5
Perlis,2014,Clerical support workers,MASCO 2008,7.3
Selangor,2014,Clerical support workers,MASCO 2008,341.8
Terengganu,2014,Clerical support workers,MASCO 2008,29.3
Sabah,2014,Clerical support workers,MASCO 2008,120.8
Sarawak,2014,Clerical support workers,MASCO 2008,92.0
W.P. Kuala Lumpur,2014,Clerical support workers,MASCO 2008,104.3
W.P Labuan,2014,Clerical support workers,MASCO 2008,5.9
W.P.Putrajaya,2014,Clerical support workers,MASCO 2008,12.0
Malaysia,2014,Service and sales workers,MASCO 2008,"3,169.3"
Johor,2014,Service and sales workers,MASCO 2008,350.1
Kedah,2014,Service and sales workers,MASCO 2008,222.5
Kelantan,2014,Service and sales workers,MASCO 2008,184.4
Melaka,2014,Service and sales workers,MASCO 2008,114.4
Negeri Sembilan,2014,Service and sales workers,MASCO 2008,119.9
Pahang,2014,Service and sales workers,MASCO 2008,171.1
Pulau Pinang,2014,Service and sales workers,MASCO 2008,193.7
Perak,2014,Service and sales workers,MASCO 2008,242.9
Perlis,2014,Service and sales workers,MASCO 2008,28.5
Selangor,2014,Service and sales workers,MASCO 2008,632.1
Terengganu,2014,Service and sales workers,MASCO 2008,102.2
Sabah,2014,Service and sales workers,MASCO 2008,344.3
Sarawak,2014,Service and sales workers,MASCO 2008,231.9
W.P. Kuala Lumpur,2014,Service and sales workers,MASCO 2008,216.0
W.P Labuan,2014,Service and sales workers,MASCO 2008,9.6
W.P.Putrajaya,2014,Service and sales workers,MASCO 2008,5.7
